성분명,제품명,업체명,금기등급,상세정보
atorvastatin,아토잘정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)새한제약,1,임부에 대한 안전성 미확립.
atorvastatin,리피트롤정(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)하원제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토산정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),한화제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,파로틴정10mg(아토르바스타틴칼슘)_(10.36mg/1정),(주)파마킹,1,임부에 대한 안전성 미확립.
atorvastatin,엘디로정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),알보젠코리아(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)서울제약,1,임부에 대한 안전성 미확립.
atorvastatin,리반틴정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)한국파마,1,임부에 대한 안전성 미확립.
atorvastatin,비씨아토르바스타틴정(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)비씨월드제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토반정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),동국제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피칸정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),신일제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,올피트정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),아주약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르틴정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),오스틴제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스포정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),케이엠에스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아도르정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),일성신약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르바정(아토르바스타틴칼슘수화물)_(10.85mg/1정),알리코제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,레토바정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)바스칸바이오제약,1,임부에 대한 안전성 미확립.
atorvastatin,써미토정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),한국넬슨제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르스타정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),환인제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스탄정10mg(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)동구바이오제약,1,임부에 대한 안전성 미확립.
atorvastatin,토르비스정(아토르바스타틴칼슘)_(10.36mg/1정),(주)퍼슨,1,임부에 대한 안전성 미확립.
atorvastatin,우담바정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),미래바이오제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아리토정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),하나제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,에이토바정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(유)한풍제약,1,임부에 대한 안전성 미확립.
atorvastatin,비보존아토르바스타틴정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)비보존제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토바틴정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),익수제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,바스타틴정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),이연제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,보리아토정(아토르바스타틴칼슘수화물)_(10.85mg/1정),경진제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토렌정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),위더스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,알피바스타틴정10mg(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)알피바이오,1,임부에 대한 안전성 미확립.
atorvastatin,리피스타틴정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),영풍제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아피토정(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)넥스팜코리아,1,임부에 대한 안전성 미확립.
atorvastatin,리피아정10mg(아토르바스타틴칼슘)_(10.36mg/1정),에스에스팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리스테롤정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),한국프라임제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르바디드정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),디아이디바이오(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피톨정(아토르바스타틴칼슘)_(10.36mg/1정),성원애드콕제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,에이스틴정(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)경보제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토르반정(아토르바스타틴칼슘)_(10.36mg/1정),한국유니온제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아로틴정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)씨티씨바이오,1,임부에 대한 안전성 미확립.
atorvastatin,아이타틴정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)아이월드제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토릭스정10mg(아토르바스타틴칼슘수화물)_(10.85mg/1정),구주제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴토르정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),대한뉴팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리바틴정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)팜젠사이언스,1,임부에 대한 안전성 미확립.
atorvastatin,휴니즈아토르바스타틴칼슘정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)휴온스메디텍,1,임부에 대한 안전성 미확립.
atorvastatin,리피아토정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)보령바이오파마,1,임부에 대한 안전성 미확립.
atorvastatin,휴온스아토르바스타틴정(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)휴온스,1,임부에 대한 안전성 미확립.
atorvastatin,리파르정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),주식회사제뉴원사이언스,1,임부에 대한 안전성 미확립.
atorvastatin,리피원정10mg(아토르바스타틴칼슘삼수화물)_(10.845mg/1정),대원제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토린정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)옵투스제약,1,임부에 대한 안전성 미확립.
atorvastatin,리피큐어정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),아이큐어(주),1,임부에 대한 안전성 미확립.
atorvastatin,리토아틴정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)다산제약,1,임부에 대한 안전성 미확립.
atorvastatin,알토바정10밀리그램(아토르바스타틴칼슘)_(10.36mg/1정),(주)서흥,1,임부에 대한 안전성 미확립.
atorvastatin,아토바스정10mg(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)티디에스팜,1,임부에 대한 안전성 미확립.
atorvastatin,비엘아토르정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),동방에프티엘(주),1,임부에 대한 안전성 미확립.
atorvastatin,아바틴정10mg(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),화일약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르테크정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)시어스제약,1,임부에 대한 안전성 미확립.
atorvastatin,뉴피토정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)라이트팜텍,1,임부에 대한 안전성 미확립.
atorvastatin,글로스타정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)한국글로벌제약,1,임부에 대한 안전성 미확립.
atorvastatin,토바스틴정(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),(주)셀트리온제약,1,임부에 대한 안전성 미확립.
atorvastatin,대웅바이오아토르바스타틴정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),대웅바이오(주),1,임부에 대한 안전성 미확립.
atorvastatin,일양바이오아토르바스타틴칼슘삼수화물정10밀리그램_(10.85mg/1정),일양바이오팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,소피아정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.845mg/1정),(주)한국피엠지제약,1,임부에 대한 안전성 미확립.
atorvastatin,리피도정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)제뉴파마,1,임부에 대한 안전성 미확립.
atorvastatin,아토센정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정),(주)테라젠이텍스,1,임부에 대한 안전성 미확립.
atorvastatin,알파스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),크리스탈생명과학(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴아토르타정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),안국뉴팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피크린정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),엔비케이제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리토르정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),주식회사다나젠,1,임부에 대한 안전성 미확립.
atorvastatin,아나타정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),독립바이오제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)아리제약,1,임부에 대한 안전성 미확립.
atorvastatin,아드윈정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),주식회사케이에스제약,1,임부에 대한 안전성 미확립.
atorvastatin,악토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)킴스제약,1,임부에 대한 안전성 미확립.
atorvastatin,메가아토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)엘앤씨바이오,1,임부에 대한 안전성 미확립.
atorvastatin,아토건정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),건일바이오팜주식회사,1,임부에 대한 안전성 미확립.
atorvastatin,리피토정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),비아트리스코리아(주),1,임부에 대한 안전성 미확립.
atorvastatin,아로스틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)한국파비스제약,1,임부에 대한 안전성 미확립.
atorvastatin,비엘토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)씨엘팜,1,임부에 대한 안전성 미확립.
atorvastatin,아토틴엠정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)마더스제약,1,임부에 대한 안전성 미확립.
atorvastatin,리피탑정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),한국신텍스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아트로드정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)화이트생명과학,1,임부에 대한 안전성 미확립.
atorvastatin,휴스타정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)휴비스트제약,1,임부에 대한 안전성 미확립.
atorvastatin,리피엔정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)이든파마,1,임부에 대한 안전성 미확립.
atorvastatin,오코바스타정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)오스코리아제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)일화,1,임부에 대한 안전성 미확립.
atorvastatin,리피탄정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),맥널티제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,스피틴정20밀리그램(무수아토르바스타틴칼슘)_(20.7mg/1정),(주)대웅제약,1,임부에 대한 안전성 미확립.
atorvastatin,일양아토르바스타틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),일양약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,광동아토르바스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),광동제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피산트정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),(주)보령,1,임부에 대한 안전성 미확립.
atorvastatin,아토로민정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),현대약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르바정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)유한양행,1,임부에 대한 안전성 미확립.
atorvastatin,리피스틴정20밀리그램(아토르바스타틴칼슘)_(20.72mg/1정),부광약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토로틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),삼성제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피논정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),동아에스티(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스타정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),동화약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,리포메트정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),고려제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피스톱정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),일동제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,바이피토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)바이넥스,1,임부에 대한 안전성 미확립.
atorvastatin,리피로우정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)종근당,1,임부에 대한 안전성 미확립.
atorvastatin,토바스트정20밀리그램(아토르바스타틴칼슘삼수화물)_(20.72mg/1정),한미약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,네오아토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)녹십자,1,임부에 대한 안전성 미확립.
atorvastatin,아페코정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),국제약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,바로스타틴정20mg(아토르바스타틴칼슘)_(20.72mg/1정),삼익제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴펙스정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),한국유나이티드제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,라토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),(주)에이프로젠바이오로직스,1,임부에 대한 안전성 미확립.
atorvastatin,리피롤정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),동광제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토테롤정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)메디카코리아,1,임부에 대한 안전성 미확립.
atorvastatin,아스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)뉴젠팜,1,임부에 대한 안전성 미확립.
atorvastatin,에이피토정20밀리그램(아토르바스타틴칼슘)_(20.72mg/1정),건일제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,케이토바정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),한국코러스(주),1,임부에 대한 안전성 미확립.
atorvastatin,라도바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),에이치엘비제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴스타틴에이정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),삼진제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아트로반정20밀리그램(아토르바스타틴칼슘)_(21.7mg/1정),경동제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)유영제약,1,임부에 대한 안전성 미확립.
atorvastatin,바토르정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),신풍제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아로토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)씨엠지제약,1,임부에 대한 안전성 미확립.
atorvastatin,아톨바정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),풍림무약(주),1,임부에 대한 안전성 미확립.
atorvastatin,휴텍스아토르바스타틴정20mg(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),한국휴텍스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아로반정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),영일제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,유니피토정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),유니메드제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피테롤정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),대우제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피노정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),지엘파마(주),1,임부에 대한 안전성 미확립.
atorvastatin,명문아토르바스타틴정20mg(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),명문제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리포액틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),안국약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토란정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),진양제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토로우정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),삼천당제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토잘정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)새한제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토산정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),한화제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,엘디로정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),알보젠코리아(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)서울제약,1,임부에 대한 안전성 미확립.
atorvastatin,리반틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)한국파마,1,임부에 대한 안전성 미확립.
atorvastatin,비씨아토르바스타틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),(주)비씨월드제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토반정20밀리그램(아토르바스타틴칼슘)_(20.72mg/1정),동국제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피칸정20밀리그램(아토르바스타틴칼슘)_(20.72mg/1정),신일제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,올피트정20밀리그램(아토르바스타틴칼슘)_(20.72mg/1정),아주약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),오스틴제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스포정20mg(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),케이엠에스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아도르정20밀리그램(아토르바스타틴칼슘수화물)_(21.69mg/1정),일성신약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르바정20mg(아토르바스타틴칼슘수화물)_(21.69mg/1정),알리코제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,레토바정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)바스칸바이오제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토르스타정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),환인제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스탄정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)동구바이오제약,1,임부에 대한 안전성 미확립.
atorvastatin,아리토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),하나제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,에이토바정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(유)한풍제약,1,임부에 대한 안전성 미확립.
atorvastatin,비보존아토르바스타틴정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)비보존제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토바틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),익수제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,바스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),이연제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토렌정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),위더스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,알피바스타틴정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)알피바이오,1,임부에 대한 안전성 미확립.
atorvastatin,리피스타틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),영풍제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아피토정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)넥스팜코리아,1,임부에 대한 안전성 미확립.
atorvastatin,리스테롤정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),한국프라임제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토르바디드정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),디아이디바이오(주),1,임부에 대한 안전성 미확립.
atorvastatin,에이스틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)경보제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토르반정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),한국유니온제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,아로틴정20mg(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)씨티씨바이오,1,임부에 대한 안전성 미확립.
atorvastatin,아토릭스정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),구주제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴토르정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),대한뉴팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리바틴정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)팜젠사이언스,1,임부에 대한 안전성 미확립.
atorvastatin,휴니즈아토르바스타틴칼슘정20mg(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)휴온스메디텍,1,임부에 대한 안전성 미확립.
atorvastatin,리피아토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)보령바이오파마,1,임부에 대한 안전성 미확립.
atorvastatin,휴온스아토르바스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)휴온스,1,임부에 대한 안전성 미확립.
atorvastatin,리파르정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),주식회사제뉴원사이언스,1,임부에 대한 안전성 미확립.
atorvastatin,리피원정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),대원제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피큐어정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),아이큐어(주),1,임부에 대한 안전성 미확립.
atorvastatin,리토아틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),(주)다산제약,1,임부에 대한 안전성 미확립.
atorvastatin,비엘아토르정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),동방에프티엘(주),1,임부에 대한 안전성 미확립.
atorvastatin,아바틴정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),화일약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,아르테크정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)시어스제약,1,임부에 대한 안전성 미확립.
atorvastatin,뉴피토정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)라이트팜텍,1,임부에 대한 안전성 미확립.
atorvastatin,글로스타정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)한국글로벌제약,1,임부에 대한 안전성 미확립.
atorvastatin,토바스틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),(주)셀트리온제약,1,임부에 대한 안전성 미확립.
atorvastatin,대웅바이오아토르바스타틴정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),대웅바이오(주),1,임부에 대한 안전성 미확립.
atorvastatin,일양바이오아토르바스타틴칼슘삼수화물정20밀리그램_(21.69mg/1정),일양바이오팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피도정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)제뉴파마,1,임부에 대한 안전성 미확립.
atorvastatin,아토센정20mg(아토르바스타틴칼슘수화물)_(21.7mg/1정),(주)테라젠이텍스,1,임부에 대한 안전성 미확립.
atorvastatin,뉴아토르타정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),안국뉴팜(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피토정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),비아트리스코리아(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피탑정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.38mg/1정),한국신텍스제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,스피틴정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),(주)대웅제약,1,임부에 대한 안전성 미확립.
atorvastatin,아토르바정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.40mg/1정),(주)유한양행,1,임부에 대한 안전성 미확립.
atorvastatin,리피논정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),동아에스티(주),1,임부에 대한 안전성 미확립.
atorvastatin,아토스타정40mg(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),동화약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피스톱정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),일동제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피로우정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),(주)종근당,1,임부에 대한 안전성 미확립.
atorvastatin,토바스트정40밀리그램(아토르바스타틴칼슘삼수화물)_(41.44mg/1정),한미약품(주),1,임부에 대한 안전성 미확립.
atorvastatin,바로스타틴정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.38mg/1정),삼익제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,리피롤정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.38mg/1정),동광제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,라도바정40mg(아토르바스타틴칼슘삼수화물)_(43.38mg/1정),에이치엘비제약(주),1,임부에 대한 안전성 미확립.
atorvastatin,뉴스타틴에이정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),삼진제약(주),1,임부에 대한 안전성 미확립.
